endpoint,entity_ref,test_purpose,full_check,["statusOnCaseOverride"]["handle"],["relationshipToClient"]["handle"]
/api/v1/orders/{id1}/deputies/{id2},11754256,relationship_other,FALSE,,OTHERRELATION
/api/v1/orders/{id1}/deputies/{id2},99353166,relationship_spouse,FALSE,,CHILD|SPOUSE
/api/v1/orders/{id1}/deputies/{id2},97716692,relationship_spouse,FALSE,DISCHARGED,PARENT|SPOUSE
/api/v1/orders/{id1}/deputies/{id2},10031042,relationship_spouse,FALSE,,SPOUSE
/api/v1/orders/{id1}/deputies/{id2},10033019,relationship_child,FALSE,,CHILD
/api/v1/orders/{id1}/deputies/{id2},9502125T,relationship_parent,FALSE,,CHILD|SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},1181777T,relationship_civil_partner,FALSE,,CIVIL
/api/v1/orders/{id1}/deputies/{id2},13443600,relationship_civil_partner,FALSE,,CIVIL
/api/v1/orders/{id1}/deputies/{id2},1163782T,relationship_civil_partner,FALSE,,CIVIL
/api/v1/orders/{id1}/deputies/{id2},99379969,relationship_other_relation,FALSE,,OTHERRELATION|PARENT
/api/v1/orders/{id1}/deputies/{id2},99315337,relationship_other_relation,FALSE,,OTHERRELATION
/api/v1/orders/{id1}/deputies/{id2},10058917,relationship_other_relation,FALSE,,OTHERRELATION
/api/v1/orders/{id1}/deputies/{id2},10015416,relationship_solicitor,FALSE,,SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},10018420,relationship_solicitor,FALSE,,SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},99353828,relationship_solicitor,FALSE,,SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},13661874,relationship_accountant,FALSE,,ACCOUNTANT
/api/v1/orders/{id1}/deputies/{id2},9782144T,relationship_accountant,FALSE,,ACCOUNTANT
/api/v1/orders/{id1}/deputies/{id2},1268922T,relationship_accountant,FALSE,,ACCOUNTANT|PARENT
/api/v1/orders/{id1}/deputies/{id2},1147191T,relationship_no_receiver,FALSE,,OTHERRELATION
/api/v1/orders/{id1}/deputies/{id2},11478286,relationship_no_receiver,FALSE,,OTHERRELATION
/api/v1/orders/{id1}/deputies/{id2},99059809,relationship_no_receiver,FALSE,,OTHERRELATION
/api/v1/orders/{id1}/deputies/{id2},10446311,relationship_other_professional,FALSE,,OTHERPROFESSIONAL
/api/v1/orders/{id1}/deputies/{id2},99052350,relationship_other_professional,FALSE,,FRIEND|OTHERPROFESSIONAL|SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},98954064,relationship_other_professional,FALSE,,OTHERPROFESSIONAL
/api/v1/orders/{id1}/deputies/{id2},99231607,relationship_friend,FALSE,,FRIEND|SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},11014553,relationship_friend,FALSE,,FRIEND
/api/v1/orders/{id1}/deputies/{id2},10197961,relationship_friend,FALSE,,FRIEND
/api/v1/orders/{id1}/deputies/{id2},1131308T,relationship_partner,FALSE,,PARTNER|SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},99193175,relationship_partner,FALSE,,PARTNER
/api/v1/orders/{id1}/deputies/{id2},99228865,relationship_partner,FALSE,,PARENT|PARTNER|SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},9924693T,relationship_panel_deputy,FALSE,,PANEL|SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},9781397T,relationship_panel_deputy,FALSE,SUSPENDED,PANEL|SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},1020011T,relationship_panel_deputy,FALSE,DISCHARGED,PANEL|PARENT
/api/v1/orders/{id1}/deputies/{id2},10007779,relationship_sibling,FALSE,,PARENT|SIBLING
/api/v1/orders/{id1}/deputies/{id2},99364400,relationship_sibling,FALSE,,PARENT|SIBLING
/api/v1/orders/{id1}/deputies/{id2},99320783,relationship_sibling,FALSE,,PARENT|SIBLING
/api/v1/orders/{id1}/deputies/{id2},98600756,relationship_unregulated,FALSE,,UNREGULATED
/api/v1/orders/{id1}/deputies/{id2},13554913,relationship_unregulated,FALSE,,UNREGULATED
/api/v1/orders/{id1}/deputies/{id2},10237910,relationship_unregulated,FALSE,,SOLICITOR|UNREGULATED
/api/v1/orders/{id1}/deputies/{id2},11923473,relationship_legal_professional,FALSE,,LEGAL|SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},11802038,relationship_legal_professional,FALSE,,LEGAL
/api/v1/orders/{id1}/deputies/{id2},12417667,deputy_status_suspended,FALSE,SUSPENDED,CHILD|SPOUSE
/api/v1/orders/{id1}/deputies/{id2},11793422,deputy_status_suspended,FALSE,SUSPENDED,SIBLING
/api/v1/orders/{id1}/deputies/{id2},9924308T,deputy_status_suspended,FALSE,SUSPENDED,OTHERRELATION
/api/v1/orders/{id1}/deputies/{id2},1011496T,deputy_status_deceased,FALSE,,OTHERRELATION|SIBLING
/api/v1/orders/{id1}/deputies/{id2},99268084,deputy_status_deceased,FALSE,,SPOUSE
/api/v1/orders/{id1}/deputies/{id2},99171450,deputy_status_deceased,FALSE,,OTHERRELATION|PARENT|SIBLING
/api/v1/orders/{id1}/deputies/{id2},99315049,deputy_status_discharged,FALSE,DISCHARGED,FRIEND|SOLICITOR
/api/v1/orders/{id1}/deputies/{id2},10199092,deputy_status_discharged,FALSE,DISCHARGED,OTHERRELATION|PARENT
/api/v1/orders/{id1}/deputies/{id2},10352796,deputy_status_discharged,FALSE,DISCHARGED,PARENT|SOLICITOR
